name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Verbatim 98111,22.53,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Kinesis Gaming Freestyle Edge,209.0,Ergonomic Split,Cherry MX Speed Silver,RGB,True,Wired,Black,Compact,88.0
Razer BlackWidow V3 - BAPE Edition,199.99,Gaming,Razer Green,RGB,False,Wired,Black / Green,Premium Gaming,88.0
Microsoft Comfort Desktop 5050,69.99,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Razer BlackWidow Ultimate,222.74,Gaming,Razer Green,Green,False,Wired,Black,Premium Gaming,79.0
Tempest K8,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Corsair Vengeance K90,111.59,Gaming,Cherry MX Red,Blue,False,Wired,Black / Gray,Mid-Range Gaming,79.0
Dell 468-7408 Keyboard,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech G15,157.81,Standard,None,Red,False,Wired,Black / Gray,Mid-Range Gaming,59.0
Microsoft Sculpt Ergonomic Desktop,129.95,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
FNATIC Streak RGB,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Ducky Shine 7 Blackout RGB,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Leopold FC750R Black PD,152.42,Standard,Cherry MX Red,None,False,Wired,Black,Mid-Range Gaming,58.0
Corsair K65 RGB MINI BUBBLEGUM POP,129.14,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Pink / White,Compact,88.0
Logitech K740,79.99,Slim,None,White,False,Wired,Black,Mid-Range Gaming,59.0
Rii RK105,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
AZIO MK MAC USB,67.65,Standard,Kailh Brown,White,False,Wired,White,Mid-Range Gaming,71.0
Cherry G80-3000LSCEU-2,89.99,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
i-rocks KR-6421-WH,19.98,Slim,None,None,False,Wired,White,Office/Budget,38.0
Rosewill NEON K51B,31.45,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Microsoft QSZ-00001,49.99,Standard,None,None,False,Bluetooth Wireless,Black,Office/Budget,50.0
Adesso EasyTouch 625,59.06,Gaming,Kailh Blue,None,True,Wired,Black,Compact,50.0
Corsair K95 RGB PLATINUM DE,201.38,Gaming,Cherry MX Speed Silver,RGB,False,Wired,Black,Premium Gaming,88.0
HP Link-5,28.99,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Corsair Raptor K40,174.6,Gaming,None,RGB,False,Wired,Black / Silver,Premium Gaming,68.0
Adesso WKB-1100CB,29.98,Mini,None,None,False,Wireless,Black,Compact,50.0
DROP MDX-31827-10,200.0,Gaming,Kailh BOX White,RGB,True,"Wired, Wired",Black,Premium Gaming,80.0
Gigabyte GK-KM3100,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Adesso AKB-132PB,16.32,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Razer Blackwidow Ultimate 2014,228.99,Gaming,Razer Green,Green,False,Wired,Black,Premium Gaming,79.0
HP QY776AA,44.0,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cooler Master MasterKeys MK750 (MX Red),118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
V7 CKU200US,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
ROCCAT Isku FX,72.94,Gaming,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
Kensington K72436AM,20.95,Standard,None,None,False,Wired,Black,Office/Budget,38.0
